Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds With Up To 32dB ANC  - Headphones for Unisex 31742122 | Myntra,4.4,₹1899,13 Aug 2025,5,Harshik,"a serene listening experience with smarter, more accurate noise cancellation that blocks out nearly all background noise.
Many users report excellent sound quality, particularly noting the strong bass and good instrument separation. 

ANC:

The ANC is generally considered effective at reducing background noise, with some users specifically mentioning its ability to dampen noise in busy environments. 

Comfort (Individual):

While some find the fit comfortable, others have issues with the eartips and recommend alternatives. 

Features:

Users appreciate features like personalized sound, spatial audio (though some find it subtle), and the volume control gesture. 
Overall a very good and best device for audio 
I loved it 
Thank you myntra 
"
Buy OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds With Up To 32dB ANC  - Headphones for Unisex 31742122 | Myntra,4.4,₹1899,11 June 2025,5,Navas,"The OnePlus Nord Buds 3 offer excellent sound quality with deep bass, thanks to the 12.4mm drivers. The ANC up to 49dB is impressive at this price, effectively blocking most ambient noise. Call quality is clear, even in noisy areas, and the battery easily lasts a full day with moderate use. Overall, a solid choice for budget-conscious buyers looking for premium features.

Pros:
✔️ Punchy bass
✔️ Strong ANC
✔️ Good call clarity
✔️ Long battery life

Cons:
❌ No wireless charging
❌ ANC can slightly affect sound quality

Rating: ★★★★☆ (4.5/5)
"
Buy OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds With Up To 32dB ANC  - Headphones for Unisex 31742122 | Myntra,4.4,₹1899,5 June 2025,5,Aditi,"Best ear buds I have ever used very clear voice, extraordinary noise cancellation, excellent battery backup also I visited others ECommerce site but i get 300 cheap than other sites so specially thanks to myntra which provides such kinds of extraordinary products at very great prices 😀 👍 "
Buy OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds With Up To 32dB ANC  - Headphones for Unisex 31742122 | Myntra,4.4,₹1899,4 July 2025,5,Unbreakable Angel,"Very amazing product..10/10  
Best during calls ... amazing voice cancellation..enc and anc is awesome 💯😎 must buy this "
Buy OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds With Up To 32dB ANC  - Headphones for Unisex 31742122 | Myntra,4.4,₹1899,6 June 2025,5,Divyesh,"I recently got the OnePlus Nord Buds 3, and I'm really happy with them.  The sound quality is great, especially if you enjoy strong bass in your music.  They fit comfortably in my ears and don't fall out easily, even when I'm moving around.  The battery life is impressive—I can use them for hours without needing to recharge, and the case provides additional charges.  The noise cancellation feature helps reduce background sounds, making it easier to enjoy music or take calls.  Connecting them to my phone was quick and simple, and I can even switch between two devices without hassle.  They're also resistant to sweat and light rain, which is perfect for workouts or walks.  Overall, these earbuds offer excellent value for the price. 
"
"Buy CMF By Nothing Buds Pro 2 With 50 DB ANC, Hi Res, LDAC, Smart Dial, Dual Drivers Bluetooth  - Headphones for Unisex 30119410 | Myntra",4.4,₹4299,19 Oct 2024,5,Mayank Parashari,"After using it for almost 15 days the experience I had was amazing I will share the reviews here 
Pros
1. The finish of the product is amazing and always feels premium.

2. The sound quality is just Amazing and it always get fitted really well in ear.
3. With nothing X app you can properly control the dial and it's features.
4. You can properly adjust the sound quality the way you like.

Cons: 
1. The only con I felt was the buds seems to big and the calling experience is ok not very good not very bad."
"Buy CMF By Nothing Buds Pro 2 With 50 DB ANC, Hi Res, LDAC, Smart Dial, Dual Drivers Bluetooth  - Headphones for Unisex 30119410 | Myntra",4.4,₹4299,8 Oct 2024,4,Rahul Ranjan,"The CMF by Nothing Buds Pro 2 delivers an impressive audio experience, combining sleek design with solid performance. Their comfortable fit and lightweight build make them suitable for extended listening sessions. 

The sound quality is rich, with clear highs and deep bass, making them versatile for various music genres. Active noise cancellation is effective, allowing for a more immersive experience in noisy environments. Battery life is commendable, with quick charging capabilities that add to their convenience.
Spatial audio feels a little bit low.

The touch controls are responsive, and the integration with voice assistants works seamlessly.

It's only con is it makes a weird buffing noise initially and in longer uses session it hurts a little bit to the ear.

Overall, the CMF by Nothing Buds Pro 2 offers excellent value for the price, appealing to both casual listeners and audiophiles looking for a stylish and functional pair of earbuds."
"Buy CMF By Nothing Buds Pro 2 With 50 DB ANC, Hi Res, LDAC, Smart Dial, Dual Drivers Bluetooth  - Headphones for Unisex 30119410 | Myntra",4.4,₹4299,13 Sept 2024,4,Rohit Maheshwari,"Earphones are good you can definitely go for it.

Standout features:
Mic Quality
Smart Dial ofc

Pros:
Lightweight and pocket friendly 
Sound qlty. (Bass is too loud and punchy. Not a big fan of the bass though)
Noise cancellation.
Faster Pairing.
Battery Life

Neutral:
App Functions and experience and Customization

Cons:
It's irritating to carry the case around at all times just to adjust volume also single touch does nothing they should have used the function.
ANC keeps on changing modes even when you've set it to a specific mode. 
Equalizer doesn't give you enough options to meddle around to your specific settings.
One of the bud will stop working once you take out from the case and put it in your ears but will get normal after 20-30 seconds or you've to take it out of your ears and put it in again.

Overall it's one of the best deal under Rs4000 price point."
"Buy CMF By Nothing Buds Pro 2 With 50 DB ANC, Hi Res, LDAC, Smart Dial, Dual Drivers Bluetooth  - Headphones for Unisex 30119410 | Myntra",4.4,₹4299,1 June 2025,5,Krishna Chhibber,"⭐️⭐️⭐️⭐️⭐️
Great sound, great value!

Honestly, didn’t expect this level of sound quality at this price. The bass is punchy without being overwhelming, vocals are clear, and the ANC (Active Noise Cancellation) is surprisingly effective even in metro and office environments.

Battery life easily gets me through 3–4 days of casual use, and the case looks super sleek. Touch controls work well, though there’s a bit of a learning curve in the beginning.

Mic quality is also good on calls, even with background noise. Just make sure to get the right fit with the ear tips – it makes a big difference.

Overall, if you’re looking for budget-friendly earbuds that feel premium, CMF Buds Pro 2 is a solid choice. Just go for it!"
"Buy CMF By Nothing Buds Pro 2 With 50 DB ANC, Hi Res, LDAC, Smart Dial, Dual Drivers Bluetooth  - Headphones for Unisex 30119410 | Myntra",4.4,₹4299,2 June 2025,4,Myntra Customer,"These wireless buds are next-level. After using them daily for the past 6 months, I can honestly say: they’re worth every penny. The 50dB Active Noise Cancellation is no joke – they block out everything. Planes, traffic, noisy cafés? Gone. Just pure, uninterrupted sound.

And that Hi-Res audio? Crystal clear, with deep bass and crisp highs. Whether I’m listening to music, podcasts, or hopping on calls, the sound quality is chef’s kiss.

✅ Battery still going strong
✅ Super comfortable – even for long wear
✅ Instant pairing and stable connection
✅ Sleek, premium design

If you want wireless buds that actually deliver – these are it. 6 months later, and I still catch myself smiling every time I put them in.

"
